"OID_";"UIDENTSTLAE";"ULAND";"UREGBEZ";"UKREIS";"UGEMEINDE";"UJAHR";"UMONAT";"USTUNDE";"UWOCHENTAG";"UKATEGORIE";"UART";"UTYP1";"ULICHTVERH";"IstStrassenzustand";"IstRad";"IstPKW";"IstFuss";"IstKrad";"IstGkfz";"IstSonstige";"LINREFX";"LINREFY";"XGCSWGS84";"YGCSWGS84";"PLST"
203087;8,23E+018;8;2;12;0;2023;2;19;5;2;2;6;2;0;1;1;0;0;0;0;454291.6226;5429156.6726;8.37490591800002;49.0136073950001;1
204180;8,23E+018;8;2;12;0;2023;2;12;6;2;5;3;0;0;1;0;0;0;0;1;454603.2947;5428822.054;8.37920541500006;49.010620488;1
202158;8,23E+018;8;2;12;0;2023;2;15;6;3;4;6;0;0;1;1;0;0;0;0;455592.6662;5428353.9754;8.39278535100004;49.0064820700001;1
203867;8,23E+018;8;2;12;0;2023;2;19;6;2;6;4;2;0;1;0;1;0;0;0;455693.4735;5428749.7802;8.39412048700007;49.010049619;1
204020;8,23E+018;8;2;12;0;2023;2;19;6;3;0;7;2;0;1;0;0;0;0;0;456874.4612;5428653.9222;8.41027944300004;49.009271031;1
202413;8,23E+018;8;2;12;0;2023;2;11;7;2;5;3;0;0;1;0;0;1;0;0;452465.2635;5427672.5727;8.35010458800002;49.0001198740001;1
203817;8,23E+018;8;2;12;0;2023;3;17;1;3;5;3;0;0;1;1;0;0;0;0;453774.224;5428571.63;8.36789720400003;49.0083063600001;1
84414;8,23E+018;8;2;12;0;2023;3;19;1;3;5;2;2;0;1;1;0;0;0;0;455179.243;5428434.866;8.38712371400004;49.0071798010001;1
205145;8,23E+018;8;2;12;0;2023;3;6;2;3;5;3;0;0;1;1;0;0;0;0;457896.0025;5428021.9811;8.42431330500006;49.0036571700001;1
203489;8,23E+018;8;2;12;0;2023;3;8;2;2;5;3;0;0;1;1;0;0;0;0;456677.7349;5424043.2307;8.40808094600004;48.967783373;1
203667;8,23E+018;8;2;12;0;2023;3;13;2;2;0;3;0;0;1;1;0;0;0;0;457877.901;5427933.165;8.42407502900005;49.0028570200001;1
205148;8,23E+018;8;2;12;0;2023;3;14;2;3;4;6;0;0;1;0;0;0;0;0;456851.3271;5428338.6403;8.40999662200005;49.0064334130001;1
203487;8,23E+018;8;2;12;0;2023;3;16;2;3;5;2;0;1;1;1;0;0;0;0;454294.3653;5429156.4453;8.37494345000005;49.0136055530001;1
205147;8,23E+018;8;2;12;0;2023;3;17;2;3;5;3;0;0;1;1;0;0;0;0;453389.3691;5428830.1986;8.36260525300003;49.0106032470001;1
84645;8,23E+018;8;2;12;0;2023;3;8;3;3;5;2;0;0;1;1;0;0;0;0;460140.9415;5427836.4202;8.45502500700007;49.002137072;1
84092;8,23E+018;8;2;12;0;2023;3;8;3;3;5;3;0;0;1;1;0;0;0;0;459690.1323;5430472.7033;8.44859974400004;49.025821631;1
205093;8,23E+018;8;2;12;0;2023;3;8;3;3;5;3;0;0;1;1;0;0;0;0;455824.4906;5425855.1604;8.39622678900003;48.9840215570001;1
205096;8,23E+018;8;2;12;0;2023;3;8;3;3;5;3;0;0;1;1;0;0;0;0;456363.097;5425508.777;8.40362500500004;48.980944073;1
265602;8,23E+018;8;2;12;0;2023;3;11;3;3;0;1;0;0;1;0;0;0;0;0;457300.837352679;5426962.17245851;8.41628748100004;48.9940831450001;2
203637;8,23E+018;8;2;12;0;2023;3;12;3;3;4;6;0;0;1;0;0;0;0;1;455628.2563;5428470.1749;8.39325927300007;49.0075298560001;1
205097;8,23E+018;8;2;12;0;2023;3;13;3;3;1;6;0;0;1;1;0;0;0;0;459353.4014;5431109.1976;8.44393001500004;49.0315248900001;1
203250;8,23E+018;8;2;12;0;2023;3;16;3;3;0;2;0;0;1;1;0;0;0;0;453625.3159;5430615.1251;8.36562757600007;49.026676502;1
84936;8,23E+018;8;2;12;0;2023;3;17;3;3;5;3;0;0;1;1;0;0;0;0;456205.3916;5426688.0526;8.40134274400003;48.9915406690001;1
203457;8,23E+018;8;2;12;0;2023;3;17;3;3;5;3;0;1;1;1;0;0;0;0;455904.8859;5423873.7858;8.39754035400006;48.9662045260001;1
203421;8,23E+018;8;2;12;0;2023;3;7;4;3;5;3;0;0;1;1;0;0;0;0;457560.342;5428410.7155;8.41968344300005;49.0071309040001;1
203213;8,23E+018;8;2;12;0;2023;3;8;4;3;5;3;0;0;1;1;0;0;0;0;455948.4819;5423716.5227;8.39815298500002;48.9647930260001;1
203992;8,23E+018;8;2;12;0;2023;3;9;4;3;1;1;0;0;1;1;0;0;0;0;461840.2318;5426960.256;8.47833992000005;48.994363154;1
203422;8,23E+018;8;2;12;0;2023;3;12;4;3;5;2;0;1;1;0;0;0;0;0;457118.4185;5428399.3127;8.41364214900005;49.0069977850001;1
203775;8,23E+018;8;2;12;0;2023;3;12;4;3;5;2;0;0;1;1;0;0;0;0;455531.4497;5428883.3995;8.39189034800006;49.011239882;1
205017;8,23E+018;8;2;12;0;2023;3;6;5;3;5;3;2;1;1;1;0;0;0;0;454264.171;5428845.96;8.37456553400006;49.0108104820001;1
203175;8,23E+018;8;2;12;0;2023;3;7;5;3;5;2;0;1;1;1;0;0;0;0;455128.3419;5428115.8021;8.38646299900006;49.0043060940001;1
203590;8,23E+018;8;2;12;0;2023;3;10;5;3;4;6;0;1;1;1;0;0;0;0;455844.3;5427476.3893;8.39632135000005;48.9986061390001;1
203588;8,23E+018;8;2;12;0;2023;3;13;5;3;1;5;0;0;1;1;0;0;0;0;453969.9116;5428668.7955;8.37056189900005;49.0091949960001;1
